,author,Number of Books rated,Average_Rating
0,Mò Xiāng Tóng Xiù,13,4.659231
1,Tui T. Sutherland,15,4.489333
2,Shannon Messenger,12,4.3975
3,Sarah J. Maas,38,4.392895
4,Steven Erikson,11,4.380909
5,Brandon Sanderson,26,4.377692
6,Erin Hunter,25,4.3744
7,Tsugumi Ohba,11,4.370909
8,Bodie Thoene,11,4.369091
9,J.R.R. Tolkien,17,4.364706
10,George R.R. Martin,16,4.348125
11,Alice Oseman,16,4.346875
12,J.D. Robb,21,4.334286
13,John Flanagan,15,4.33
14,Cassandra Clare,24,4.327917
15,Kim Harrison,11,4.319091
16,Rick Riordan,39,4.309487
17,J.K. Rowling,21,4.30619
18,Robin Hobb,12,4.305
19,Jim Butcher,23,4.304348
20,Kristen Ashley,20,4.2975
21,J.R. Ward,18,4.292778
22,Kresley Cole,13,4.291538
23,Anonymous,26,4.289615
24,Leigh Bardugo,19,4.288947
25,David Gemmell,13,4.276154
26,Ilona Andrews,11,4.274545
27,Anne Bishop,12,4.260833
28,Karen Marie Moning,13,4.256923
29,Sherrilyn Kenyon,24,4.256667
30,Neil Gaiman,36,4.236667
31,Jeaniene Frost,11,4.236364
32,Richelle Mead,23,4.234783
33,Nalini Singh,11,4.232727
34,Suzanne Collins,11,4.232727
35,Tamora Pierce,26,4.231923
36,Bernard Cornwell,20,4.2225
37,Isaac Asimov,21,4.218095
38,Dr. Seuss,22,4.217273
39,Jennifer L. Armentrout,29,4.217241
40,Lara Adrian,11,4.213636
41,Astrid Lindgren,13,4.211538
42,Neal Shusterman,11,4.201818
43,Robert Jordan,15,4.188
44,Michael Connelly,17,4.182941
45,Lois McMaster Bujold,17,4.181765
46,Marissa Meyer,12,4.171667
47,Darren Shan,18,4.168889
48,L.M. Montgomery,12,4.165833
49,Douglas Adams,11,4.163636
50,Andrzej Sapkowski,11,4.163636
51,Jennifer Lynn Barnes,12,4.163333
52,Rachel Caine,15,4.158667
53,Laura Ingalls Wilder,11,4.157273
54,Juliet Marillier,11,4.157273
55,Edgar Allan Poe,16,4.155625
56,Terry Pratchett,42,4.152143
57,Kelley Armstrong,18,4.15
58,Tess Gerritsen,13,4.146154
59,H.P. Lovecraft,13,4.133077
60,Oscar Wilde,13,4.130769
61,C.S. Lewis,30,4.129
62,Nora Roberts,22,4.123636
63,David Eddings,13,4.123077
64,Mercedes Lackey,16,4.12125
65,Julie Mannino,25,4.1192
66,Arthur Conan Doyle,16,4.11875
67,Lee Child,20,4.114
68,Enid Blyton,15,4.112667
69,Walt Disney Company,11,4.111818
70,Karin Slaughter,15,4.11
71,Gene Wolfe,12,4.109167
72,James Rollins,29,4.107586
73,V.E.  Schwab,14,4.105
74,Marie Lu,11,4.103636
75,Nelson DeMille,12,4.099167
76,Lisa Kleypas,12,4.099167
77,Anthony Horowitz,13,4.095385
78,Janet Evanovich,21,4.094762
79,Ken Follett,18,4.094444
80,Anne McCaffrey,22,4.087727
81,Douglas Preston,13,4.083077
82,George Orwell,16,4.07875
83,Ursula K. Le Guin,20,4.075
84,David Baldacci,23,4.07087
85,Diana Wynne Jones,11,4.069091
86,Colleen Hoover,27,4.066667
87,Julie Kagawa,13,4.064615
88,Brian Jacques,21,4.061429
89,Neal Stephenson,12,4.059167
90,Nicholas Sparks,23,4.056522
91,Tahereh Mafi,15,4.056
92,Cormac McCarthy,11,4.05
93,Tom Clancy,12,4.038333
94,Veronica Roth,11,4.033636
95,Ray Bradbury,13,4.029231
96,Harlan Coben,12,4.025
97,Stanisław Lem,11,4.021818
98,Maria V. Snyder,12,4.02
99,José Saramago,13,4.013846
100,Lemony Snicket,15,4.013333
101,Deepak Chopra,17,4.012941
102,Roald Dahl,25,4.0124
103,Stephen King,77,4.008052
104,Margaret Peterson Haddix,16,4.003125
105,Kurt Vonnegut Jr.,16,4.0025
106,P.C. Cast,17,4.001765
