,Genre,Avg_Rating,Count
41,Adventure,4.229173190909115,770
0,Nonfiction,4.227290115384613,1612
3,Biography,4.2239347079037985,582
6,History,4.22304644808746,732
19,Fantasy,4.217940322332792,2212
55,Childrens,4.217712978005899,682
15,Audiobook,4.216490402714949,884
13,Historical,4.208245574686455,877
48,Adult,4.207325471135951,537
44,Young Adult,4.206146503387522,1476
5,Philosophy,4.2049235830039615,506
20,Romance,4.2033782238605815,1492
9,Fiction,4.20316506422616,4562
11,Classics,4.201919370860928,1510
87,Novels,4.1989885659631,758
14,Historical Fiction,4.198827034733457,1238
104,Paranormal,4.196969833333338,504
107,Contemporary,4.188697427293093,894
45,Science Fiction,4.187790422799455,693
40,Literature,4.186305887118232,753
32,Thriller,4.166869888698633,584
31,Mystery,4.165186401433731,837
